Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
You Again,1,105,PG,20,84,2548,8407513,25702053,17,43,2010,9,15.94463627,16.81124283,7.843064017,17.06208143
Alpha and Omega,1,88,PG,20,77,2625,9106906,25107267,16,41,2010,9,16.02454358,16.81124283,7.872836175,17.03866788
Piranha 3D,1,89,R,24,91,2491,10106872,25003155,73,44,2010,8,16.12872615,16.99356439,7.820439515,17.03451257
Lottery Ticket,1,99,PG-13,17,77,1974,10652297,24719879,34,44,2010,8,16.18128611,16.6487239,7.58781722,17.0231183
The Spy Next Door,1,92,PG,28,49,2924,9726056,24307086,12,40,2010,1,16.09031903,17.14771507,7.980707821,17.00627847
From Paris with Love,1,95,R,52,35,2722,8158860,24077427,37,54,2010,2,15.91461501,17.76675428,7.909122183,16.99678532
The Losers,1,98,PG-13,25,63,2936,9406348,23591432,49,54,2010,4,16.05689534,17.03438638,7.98480339,16.97639415
Faster,0,98,R,24,79,2470,8523153,23240020,43,49,2010,11,15.9582969,16.99356439,7.81197343,16.96138635
Just Wright,1,111,PG,12,83,1831,8284989,21540363,45,61,2010,5,15.92995588,16.30041721,7.512617545,16.88543908
Skyline,1,100,PG-13,10,42,2883,11692415,21393620,15,18,2010,11,16.2744509,16.11809565,7.966586698,16.8786033
The Next Three Days,1,122,PG-13,30,49,2564,6542779,21148651,52,66,2010,11,15.69387256,17.21670794,7.849323818,16.86708668
Our Family Wedding,1,90,PG-13,14,97,1609,7629862,20255281,13,48,2010,3,15.84758032,16.45456789,7.383368147,16.82392611
Remember Me,0,128,PG-13,16,63,2215,8089139,19068240,27,68,2010,3,15.90603286,16.58809928,7.703007682,16.76353468
Going the Distance,1,97,R,32,49,3030,6884964,17804299,53,53,2010,9,15.74485046,17.28124646,8.016317899,16.6949505
Furry Vengeance,0,92,PG,35,77,3002,6627564,17630465,8,31,2010,4,15.70674787,17.37085862,8.007034012,16.68513893
Splice,1,104,R,30,63,2450,7385277,17010170,74,37,2010,6,15.81499898,17.21670794,7.803843304,16.64932196
Youth in Revolt,1,90,R,18,104,1873,6888334,15281286,66,52,2010,1,15.74533981,16.70588232,7.535296702,16.5421395
My Soul to Take,1,107,R,25,28,2572,6842220,14744435,9,26,2010,10,15.7386228,17.03438638,7.852439085,16.50637628
Repo Men,1,111,R,32,35,2521,6126170,13794835,22,41,2010,3,15.62808032,17.28124646,7.832410927,16.4398048
Case 39,0,109,R,26,49,2212,5350570,13261851,22,40,2010,10,15.49271366,17.0736071,7.701652363,16.40040213
Let Me In,0,115,R,20,70,2042,5147479,12134935,88,76,2010,10,15.45401764,16.81124283,7.621684999,16.31159904
Extraordinary Measures,0,106,PG,31,21,2549,6012594,12068313,28,53,2010,1,15.60936683,17.24949776,7.843456404,16.30609382
Jonah Hex,1,81,PG-13,47,56,2825,5379365,10547117,12,20,2010,6,15.4980809,17.66565816,7.946263644,16.17136311
Blue Valentine,1,112,R,1,114,450,193728,9706328,87,76,2010,12,12.17421039,13.81551056,6.109247583,16.0882886
Fair Game (2010),0,108,PG-13,22,105,436,651082,9540691,79,65,2010,11,13.38639087,16.90655301,6.077642243,16.07107647
Get Low,1,100,PG-13,7,210,570,88182,9176933,84,75,2010,7,11.38715814,15.76142071,6.345636361,16.03220361
MacGruber,1,88,R,10,21,2551,4043495,8525600,47,33,2010,5,15.21261997,16.11809565,7.844240718,15.95858396
Cyrus,1,92,R,7,118,454,181716,7468936,80,53,2010,6,12.11020031,15.76142071,6.118097198,15.82626311
