Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Edge of Darkness,1,108,R,80,70,3066,17214384,43313890,56,49,2010,1,16.6612558713669,18.1975371926382,8.02812905943176,17.5839839267515
Gulliver's Travels,1,85,PG,112,111,3089,6307691,42779261,21,27,2010,12,15.6572802404499,18.5340094292594,8.03560269291858,17.571563987042
Death at a Funeral (2010),1,90,R,21,84,2459,16217540,42739347,41,45,2010,4,16.6016039305377,16.8600329956877,7.80751004221619,17.5706305293109
Step Up 3-D,1,97,PG-13,30,91,2439,15812311,42400223,46,64,2010,8,16.5762993718114,17.2167079396264,7.79934339821592,17.5626641796223
The Last Exorcism,1,100,PG-13,1.8,42,2874,20366613,41034350,72,34,2010,8,16.8294075004457,14.4032972228664,7.96346006663897,17.529920078784
Legion (2010),1,100,R,26,59,2476,17501625,40168080,20,31,2010,1,16.6778042917256,17.0736070959858,7.81439963380449,17.5085832083298
Burlesque,1,100,PG-13,55,78,3037,11947744,39440655,37,64,2010,11,16.2960530319085,17.8228437431967,8.01862546504575,17.4903076950659
The Crazies,0,101,R,20,84,2479,16067552,39123589,71,56,2010,2,16.592312392569,16.8112428315183,7.81561053203519,17.4822361422765
For Colored Girls,1,120,R,21,77,2127,19497324,37729698,32,73,2010,11,16.7857877833477,16.8600329956877,7.66246781520024,17.4459580876678
The Back-Up Plan,0,98,PG-13,35,91,3280,12201710,37490007,18,45,2010,4,16.3170866638159,17.3708586194537,8.09559870137819,17.4395849754285
Vampires Suck,1,80,PG-13,20,86,3233,12202831,36661504,5,30,2010,8,16.3171785319646,16.8112428315183,8.08116577772543,17.4172378251753
The American,0,105,R,20,65,2833,13177790,35606376,66,38,2010,9,16.3940433946786,16.8112428315183,7.94909149983052,17.3880352809092
Green Zone,1,115,R,100,56,3004,14309295,35053660,53,57,2010,3,16.4764198840716,18.4206807439524,8.00770001288403,17.3723905882472
Marmaduke,1,87,PG,50,105,3213,11599661,33644788,9,42,2010,6,16.2664864315116,17.7275335633924,8.07496035911586,17.3313687134998
Devil,1,80,PG-13,10,63,2811,12289375,33601190,52,44,2010,9,16.324245625896,16.1180956509583,7.94129557090653,17.3300720409729
When in Rome,1,91,PG-13,40,77,2456,12350041,32680633,16,41,2010,1,16.3291699408708,17.5043900120782,7.80628928926703,17.3022931974135
Love and Other Drugs,1,113,R,30,86,2458,9739161,32367005,49,53,2010,11,16.0916655322781,17.2167079396264,7.80710329012598,17.2926500976799
She's Out of My League,1,104,R,20,69,2958,9775278,32010860,58,59,2010,3,16.095367103329,16.8112428315183,7.99226864327075,17.2815857781893
