API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936518,4.5,Casing,11.6,1050,10/30/2010 12:00:00 AM,10634,6560,7.875,f731eded-2893-4b23-a096-87ee54482ca5
4232936515,12.75,Casing,34,350,5/19/2010 12:00:00 AM,361,,17.5,fe85981b-2adf-4912-ae4d-8fe9dc8c537d
4232936515,4.5,Casing,11.6,1050,5/19/2010 12:00:00 AM,10569,6650,7.875,fe85981b-2adf-4912-ae4d-8fe9dc8c537d
4232936534,5.5,Casing,17,710,9/3/2010 12:00:00 AM,10861,6776,8.75,f9d5502e-470e-4730-90c9-a3a3d0d4d0d6
4232936534,9.625,Casing,36,315,9/3/2010 12:00:00 AM,499,,12.25,f9d5502e-470e-4730-90c9-a3a3d0d4d0d6
4232936520,12.75,Casing,35,350,10/22/2010 12:00:00 AM,358,,17.5,d176c2e2-b94d-4df4-a505-b172312e57ed
4232936520,4.5,Casing,11.6,1050,10/22/2010 12:00:00 AM,10580,7220,7.875,d176c2e2-b94d-4df4-a505-b172312e57ed
4232936517,12.75,Casing,34,350,11/9/2010 12:00:00 AM,360,,17.5,a939d1b4-a648-4ecd-bba6-fdff9e80fd78
4232936517,4.5,Casing,11.6,1090,11/9/2010 12:00:00 AM,10610,7110,7.875,a939d1b4-a648-4ecd-bba6-fdff9e80fd78
4232936535,9.625,Casing,36,315,8/30/2010 12:00:00 AM,505,,12.25,4a9ec771-2287-4abb-b9eb-2a4e1bfff3b6
4232936535,5.5,Casing,17,805,8/30/2010 12:00:00 AM,10865,7254,8.75,4a9ec771-2287-4abb-b9eb-2a4e1bfff3b6
4232936523,9.625,Casing,32.2,300,6/29/2010 12:00:00 AM,357,0,13.5,4cc28306-f9d3-4ef3-8830-34ef909c02ee
4232936523,5.5,Casing,17,1715,6/29/2010 12:00:00 AM,10780,5300,7.875,4cc28306-f9d3-4ef3-8830-34ef909c02ee
4232936526,8.625,Casing,32,350,12/1/2010 12:00:00 AM,380,0,12.25,42750da3-a699-44b3-8b36-3843de2c7501
4232936526,5.5,Casing,17,1815,12/1/2010 12:00:00 AM,10785,4930,7.875,42750da3-a699-44b3-8b36-3843de2c7501
4232936527,5.5,Casing,17,1795,3/13/2011 12:00:00 AM,10795,7950,7.875,2b7dcf72-4ce7-491e-96a9-6de9f8e5ba9e
4232936527,8.625,Casing,24,300,3/13/2011 12:00:00 AM,316,0,13.5,2b7dcf72-4ce7-491e-96a9-6de9f8e5ba9e
