WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13215,89.8,357.4,11092.49,2204.83,N,484.54,W,47.9999,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11117,63.2,323,10961.69,158.88,N,336.05,W,47.99429,-103.394
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3418,1.5,245.1,3417.83,4.44,S,17.75,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,7962,0.9,154.9,7961.67,20.01,S,21.22,W,47.9938,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10485,4.8,302.8,10484.46,22.7,S,20.01,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9761,0.7,106.1,9760.57,22.59,S,21.16,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18887,92.1,358.3,11087.31,7874.05,N,492.64,W,48.01545,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9477,0.6,90.6,9476.58,22.33,S,24.19,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6164,0.3,346.2,6163.78,7.23,S,15.82,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4270,0.1,146.6,4269.8,7.85,S,16.12,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4649,0.3,339.7,4648.8,7.52,S,16.51,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4459,0.1,293.8,4458.8,8.05,S,16.14,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16996,92.2,359.9,11085.1,5984.45,N,505.02,W,48.01027,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11022,57,309.3,10914.48,99,N,279.77,W,47.99412,-103.3937
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3702,0.4,145.2,3701.81,6.33,S,18.34,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16807,87.5,0.3,11085.16,5795.51,N,506.01,W,48.00975,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13027,93.5,357.6,11095.64,2017.04,N,477.79,W,47.99939,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18319,89.9,359.5,11085.35,7306.47,N,474.16,W,48.0139,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,7489,1.3,207.1,7488.7,16.07,S,23.75,W,47.99381,-103.3927
