API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4237134838,9.625,Casing,40,800,,4340,1670,12.25,5acf676f-b300-47db-ad6e-3a8e2ed038b6
4237134838,13.375,Casing,54.5,725,,750,0,17.5,5acf676f-b300-47db-ad6e-3a8e2ed038b6
4237138781,4.5,Liner,45,0,,11830,8248,,946b79a5-ae7a-4570-8739-8b32a943554d
4237138676,4.5,Casing,11.6,300,5/17/2010 12:00:00 AM,889,,7.875,2cd612f4-073d-413f-8fef-e191355a6372
4237138780,5.5,Casing,15.5,200,,450,50,7.875,2ca5636d-ff0b-48d1-ac33-a19c67aa0ae7
4237134333,8.625,Casing,24,625,9/26/1983 12:00:00 AM,1886,,11,78688c49-5896-4941-9747-88f0d3ea0a9a
4237134333,13.375,Casing,48,1850,9/26/1983 12:00:00 AM,1326,,17.5,78688c49-5896-4941-9747-88f0d3ea0a9a
4237134333,3.5,Casing,0,0,9/26/1983 12:00:00 AM,1852,,,78688c49-5896-4941-9747-88f0d3ea0a9a
4237110502,5.5,Casing,20,980,,9910,,6.625,7c64bf2a-2f6e-4d7d-9ba6-d9099e7ef078
4237110502,13.375,Casing,48,1546,,2284,,17.5,7c64bf2a-2f6e-4d7d-9ba6-d9099e7ef078
4237110502,7.625,Casing,26,1076,,9130,,9.875,7c64bf2a-2f6e-4d7d-9ba6-d9099e7ef078
4237138756,7,Casing,26,490,11/26/2010 12:00:00 AM,830,,9.875,8abbb6c9-0c07-44d1-8aa0-592dd72976a7
4237138756,4.5,Casing,11.6,200,11/26/2010 12:00:00 AM,2068,500,6.25,8abbb6c9-0c07-44d1-8aa0-592dd72976a7
4237138752,5.5,Casing,15.5,130,,435,,7.875,dbdb6e38-c46a-4b08-9dbe-4e29ae1777db
4237110630,4.5,Casing,13.5,400,7/24/2010 12:00:00 AM,10122,4974,6.75,3a6ff217-d12b-4c01-a960-766fcbd17b58
4237110630,9.625,Casing,36,575,7/24/2010 12:00:00 AM,2002,,12.25,3a6ff217-d12b-4c01-a960-766fcbd17b58
4237110630,5.5,Casing,20,750,7/24/2010 12:00:00 AM,0,2350,6.75,3a6ff217-d12b-4c01-a960-766fcbd17b58
4237138751,5.5,Casing,,130,,452,,7.875,4183b777-7c3d-4402-b5b0-3860b89d2447
4237138750,5.5,Casing,16,130,6/20/2011 12:00:00 AM,455,,7.875,bb4c1e7a-3028-4b36-85ba-7ad2cbe62bdb
4237138753,9.625,Casing,20,1620,12/14/2010 12:00:00 AM,4550,0,12.25,f4437ba2-a9a4-4bf1-bc30-46ea848bdf40
4237138753,5.5,Casing,20,1575,12/14/2010 12:00:00 AM,9500,0,8.75,f4437ba2-a9a4-4bf1-bc30-46ea848bdf40
4237106877,7,Casing,26,300,3/2/1999 12:00:00 AM,1396,,9,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,13.375,Casing,48,0,10/13/1995 12:00:00 AM,360,,15,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,10.75,Casing,32.3,80,3/2/1999 12:00:00 AM,788,,13.375,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,13.375,Casing,48,0,3/2/1999 12:00:00 AM,360,,,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,8.625,Casing,32,300,10/13/1995 12:00:00 AM,1130,,,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,,Casing,0,0,,0,,,a9e7b235-f832-4546-98c0-6742c805379b
4237106877,8.625,Casing,32,300,3/2/1999 12:00:00 AM,1130,,10,a9e7b235-f832-4546-98c0-6742c805379b
4237138753,13.375,Casing,54.5,495,12/14/2010 12:00:00 AM,480,0,17.5,f4437ba2-a9a4-4bf1-bc30-46ea848bdf40
4237138726,4.5,Casing,,655,,10187,8000,8.75,71773d6e-379b-4640-bf00-22274770464d
4237138726,9.625,Casing,,730,,1087,,12.25,71773d6e-379b-4640-bf00-22274770464d
4237133602,7,Casing,26,150,12/21/2010 12:00:00 AM,1376,,9,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237133602,8.625,Casing,24,48,12/18/1997 12:00:00 AM,940,,11,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237133602,2.875,Casing,0,0,12/9/1981 12:00:00 AM,1278,,,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237133602,13.375,Casing,48,910,12/21/2010 12:00:00 AM,765,,17.5,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237133602,8.625,Casing,24,480,12/21/2010 12:00:00 AM,940,,11,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237133602,7,Casing,26,260,12/9/1981 12:00:00 AM,1376,,9,e968763d-0368-4ebf-9b42-a8a57485dbfd
4237106989,,Casing,0,0,,0,,,8c8fffdd-43f1-406d-9271-75c4fd5a5d1a
4237106989,8.625,Casing,32,100,5/24/1996 12:00:00 AM,1093,,11,8c8fffdd-43f1-406d-9271-75c4fd5a5d1a
4237106989,10.75,Casing,40,85,5/24/1996 12:00:00 AM,512,,13,8c8fffdd-43f1-406d-9271-75c4fd5a5d1a
