WellId,API,Name,ShortName,TopDepth,BaseDepth,MethodObtained,IsProducing,IsTarget
2a515f4e-9ebd-4ba8-8205-6be9967d3e26,4237139278,SOMA,,,,,False,False
01e02172-b587-41da-8a6b-530cc6a65135,4237139562,TUBB,,,,,False,False
9afcc16c-d207-4fc5-b06c-ec046160930c,4237135404,GRAYBURG,,1142,,,False,False
10c57e66-c189-4451-8130-22027b6ff606,4237139290,MONTOYA,,,,,False,False
f0afe752-ba4b-43c5-a91c-434518c1d378,4237139062,WOLFCAMP,,,,,False,False
d9f4fc99-6d26-4caa-8243-8d022f43604d,4237139521,CANYON,,,,,False,False
b2f2c789-02a7-47d9-b3e4-fa94167aa6c5,4237100056,BONE SPRINGS,,,,,False,False
e2e0e80a-8c9f-4f63-b4a7-4e298c04b241,4237139530,ATOKA,,,,,False,False
b265863b-56ca-422c-8cfb-231d6215feda,4237139156,MONTOYA,,5300,,,False,False
a7207c35-ab9a-484f-8184-2a172588ee57,4237137335,STRAWN,,,,,False,False
5b72c48c-1126-4f2b-8b13-ca4192c363dd,4237139525,CLEARFORK,,,,,False,False
cf1249eb-f108-4b1f-8551-17ec012d6366,4237139179,QUEEN,,,,,False,False
f89022b5-fbb3-4049-9d29-f9ce7c5a206f,4237139288,GLORIETA,,,,,False,False
8bdc3b15-3ca0-43b1-b43d-9d788f49e72d,4237139414,SOMA,,,,,False,False
635f86b0-7cf6-4abf-bdfd-da66a7412abd,4237139529,WOLFCAMP,,9912,,,False,False
a65122bc-9830-4e59-a38a-5d79aa6c984d,4237139582,ATOKA,,,,,False,False
05feb088-a688-4f9b-94dd-0c83f2320086,4237139431,CLEARFORK,,,,,False,False
b9e367d1-6855-4457-90b4-43f1960b6fff,4237138592,FUSSELMAN,,11294,,,False,False
3cdd73b9-9406-4299-ba48-7d6f1f40d6e6,4237135915,GRAYBURG,,1236,,,False,False
1e0b4ddc-5db5-4747-b1a6-ea6007c3199b,4237139524,MISSISSIPPIAN,,,,,False,False
b95e1f9d-283b-445a-a30d-28a4b1f3dca1,4237110659,RUSTLER,,,,,False,False
1c47d5da-59e3-4eca-8b87-81ecd9e927c3,4237135718,BASE CRETACEOUS,,546,,,False,False
ef07f702-4d90-45a4-bd23-b377a7007b33,4237139140,MONTOYA,,,,,False,False
f61d6bb2-95d5-47f2-82ba-f7a563c2cf4b,4237139656,SEVEN RIVERS,,,,,False,False
1950356d-259e-430b-9394-ddf3fef2a0f8,4237139649,TUBB,,,,,False,False
58dbb614-1f83-4a53-a540-0d83748e6e65,4237139338,SULLIVAN,,,,,False,False
8e7bb8eb-a741-4b6a-b00b-93f160df2d0b,4237139382,ELLENBURGER,,,,,False,False
7026254e-1213-423f-b76f-cf7927979475,4237139376,ATOKA,,,,,False,False
0ba45f1f-e8c2-42f1-bee6-b54dcfad4f01,4237136111,WICHITA ALBANY,,4052,,,False,False
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,PERMIAN GENERAL,,,,,False,False
753e5786-6b8b-490f-b414-3a1ec49b4cdb,4237138730,TUBB,,6600,,,False,False
fecbc732-a958-4ba3-89ed-b0d2f5472acf,4237139374,PERMIAN GENERAL,,,,,False,False
0d31fa71-7614-4ca0-b062-246ab4f1aa06,4237139226,SEVEN RIVERS,,2591,,,False,False
a65122bc-9830-4e59-a38a-5d79aa6c984d,4237139582,PERMIAN GENERAL,,,,,False,False
0d31fa71-7614-4ca0-b062-246ab4f1aa06,4237139226,ZONE - UNIDENTIFIED,,,,,False,False
e608ee10-1d8b-4d43-84d5-e1e776e19cdb,4237134463,YATES (SMITH SAND),,470,,,False,False
84533a70-28cb-466f-8d22-07869272eaa2,4237139492,CLEARFORK,,,,,False,False
9352fee7-21c2-4721-8a5c-6444f0467044,4237139236,GRAYBURG,,,,,False,False
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,ELLENBURGER,,,,,False,False
0760bb15-104c-46a7-b4f7-06717d256090,4237139350,WADDELL,,,,,False,False
1a6946fb-b99a-4870-9eeb-205b85571454,4237139313,PERMIAN GENERAL,,,,,False,False
49cd1a11-2598-4caf-b9ca-55785b664e57,4237132826,YATES (SMITH SAND),,1072,,,False,False
0760bb15-104c-46a7-b4f7-06717d256090,4237139350,QUEEN,,,,,False,False
6d19db56-3eca-47ed-857a-ae23fedf8e8f,4237139195,WADDELL,,0,,,False,False
6caaeed3-0e15-4362-8695-e7dec1cb27be,4237134731,BASE CRETACEOUS,,506,,,False,False
afa6225c-4a38-4359-a35c-cf149413f12d,4237139418,DELAWARE,,,,,False,False
6d5ba139-58b8-4138-9edc-e59cfc99e268,4237138652,BASE CRETACEOUS,,1320,,,False,False
18f42abf-002e-4fa7-b9be-c9ec50de7dac,4237139307,ZONE - UNIDENTIFIED,,,,,False,False
4242947b-f320-462c-a13c-89ba4c515715,4237133539,O'BRIEN,,2500,,,False,False
6d19db56-3eca-47ed-857a-ae23fedf8e8f,4237139195,CANYON,,6384,,,False,False
450479ed-b234-4650-b1ae-483ae3a84b40,4237135193,SOMA,,900,,,False,False
f8cf64a4-9a11-4795-b8c6-621325e3d664,4237139324,RUSTLER,,2058,,,False,False
1ac0a578-6da0-4c19-80ee-7fb71495f081,4237139451,PENNSYLVANIAN,,,,,False,False
b284a88a-7b91-4540-8edc-696c0a104d98,4237134846,SMITH SAND,,1039,,,False,False
d9859941-735b-4ec5-b3db-303fcc307faf,4237139445,CABBALLOS,,,,,False,False
1ac3f2e5-473f-4cf5-a6ed-64954212bb7a,4237139551,WADDELL,,,,,False,False
859f2b88-e7a8-4caf-ae8d-39dd8ee438fa,4237139538,GRAYBURG,,2545,,,False,False
cbdf64b1-cd09-4dd1-a3f2-a4e534f9d280,4237139390,BONE SPRINGS,,8123,,,False,False
252705a0-faee-4e6c-a345-3059cacd5b95,4237139341,CANYON,,,,,False,False
1e699a4e-28f7-4cba-987e-b64cd3298695,4237139444,GLORIETA,,,,,False,False
b2f2c789-02a7-47d9-b3e4-fa94167aa6c5,4237100056,DEVONIAN,,,,,False,False
8310352f-97cc-44a4-a612-e86262b8be7d,4237105703,BASE (CRETACEOUS),,510,,,False,False
4cd9d866-6157-4b3e-be15-b012a852a241,4237139227,WADDELL,,,,,False,False
de5d22aa-6926-4a2c-8bf4-168da0f9e863,4237139615,WADDELL,,,,,False,False
512a63e4-57c1-4db6-be07-4c97b0708868,4237136613,ELLENBURGER,,,,,False,False
e27b84f8-e2cc-45f4-bb93-9bd69443d962,4237134679,BASE CRETACEOUS,,421,,,False,False
9d4a09d5-2425-4b51-912d-284b1abca5be,4237139299,QUEEN,,3347,,,False,False
17486d4e-3fa2-484b-9fd6-424e4d38c0fc,4237139556,ELLENBURGER,,,,,False,False
785ea26c-4b03-49fc-a381-d8c3dd5dc9de,4237139399,ELLENBURGER,,,,,False,False
311abdcf-b135-42e9-a794-02107ae53b29,4237138958,3RD BONE SPRING,,10119,,,False,False
345b6913-e29d-4cf4-8f4e-f804db4ba00c,4237139259,BONE SPRINGS,,8092,,,False,False
14646344-65f5-4d6f-ad87-4d0a06c97684,4237139409,GLORIETA,,2775,,,False,False
cf4e080a-cb84-453a-ab25-d0e1fce3b19f,4237139598,YATES,,,,,False,False
72671d25-a225-44f8-b719-8171b2138868,4237139351,SAN ANDRES - USABLE QUALITY WATER ZONE; LOW VOLUME,,,,,False,False
fd60c54a-379f-486c-9656-c716b91ea8a8,4237139041,TOBORG B,,520,,,False,False
