WellId,API,Supplier,Purpose,TradeName,IngredientName,CASNumber,PercentOfTotalFluid,IngredientMass
a65122bc-9830-4e59-a38a-5d79aa6c984d,4237139582,,,,SODIUM CARBONITE,497-1-9--8,0.0006737147,2015
5b72c48c-1126-4f2b-8b13-ca4192c363dd,4237139525,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.00333438,11969
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,HALLIBURTON,Additive,FE-2A,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,,Other Chemicals,,PROPYLALCOHOL,71-2-3--8,0,0
eab4b262-47ed-46d7-bca3-441a9a270839,4237139642,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,PHOSPHONIC ACID [[PHOSPHONOMETHYLIMINO]BIS[21-ETHANEDIYLNITRILOBISMETHYLENE]]TETRAKIS,,0.005545985,12280.65
e01866be-4b7f-482f-959b-a4db6f17d8a5,4237139531,LIBERTY OILFIELD SERVICES,Corrosion Inhibitor,ACI-97,DIPORPYLENE GLYCOL MONOMETHYL ETHER,34590-9-4--8,0.0001167685,265.444
fba61f8d-053e-4e75-ab1b-180b5304fcbc,4237139676,,Other Chemicals,,TAR BASES,68513-8-7--1,0,0
19173306-ba16-416c-9cfb-47ca16a9193d,4237139497,,Other Chemicals,,POLYOXY-12-EHTANEDIYL,34398-0-1--1,0,0
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,2-PROPENOIC ACID POLYMER WITH SODIUM PHOSPHINATE,129898-0-1--7,0.004422254,9774.48
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,C14_C_16 ALPHA OLEFINS,64743-0-2--8,0.0002618038,412
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,HALLIBURTON,Clay Stabilizer,Cla-Web(TM) II,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
28bc6657-b868-49d8-9499-a9ca9727f643,4237139688,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.003935,8038.048
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,HALLIBURTON,Proppant,"SAND-PREMIUM WHITE-40/70, BULK",2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,MERCAPTOETHANOL,60-2-4--2,0.008944619,19719.93
80cc0e70-c967-4276-ab85-52e7dc4cd6fb,4237139533,,Other Chemicals,,ALCOHOLSC1114-ISO-C13- RICH ETHOXYLATED,78330-2-1--9,0,0
84533a70-28cb-466f-8d22-07869272eaa2,4237139492,HALLIBURTON,Crosslinker,CL-31 CROSSLINKER,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
583d9aed-7574-46c5-81ca-dd6da815338c,4237139626,SNF,Friction Reducers,FR-630,2-PROPENOIC ACID POLYMER WITH ACRYLAMIDE SODIUM SALT,,0.0271882,60562.54
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,,,,HYDROGEN CHLORIDE,7647-0-1--0,0.05409376,112630.7
7ccd0fcb-06b7-4370-90b5-38014b42ba17,4237139501,,,,TIO,13463-6-7--7,0.009717,4375.022
023e4ac2-6386-40b4-828e-3236e0872278,4237139419,INNOSPEC OILFIELD SERVICES,Phosphonate Scale inhibitor,ScaleCease 7016,BISHEXAMETHYLENETRIAMINE PENT,35657-7-7--3,0.04219535,5531.2
9b8112e9-217b-4c1d-9329-4c42dcedf676,4237139542,FINORIC,Acid Corrosion Inhibitors,I-123,ISOPROPYL ALCOHOL,,2.761481E-05,29.47565
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,OPERATOR,Base Fluid,Fresh Water,WATER,773-1-8--2,88.19331,1.536129E+08
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,FTSI,Proppant,40/70 White,15 HCL,7732-1-8--5,0,0
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,,,,C10-C16 ETHOXYLATED ALCOHOLS,68002-9-7--1,0.0007657706,1334
b1f5c0d8-8a46-406a-a380-bb0045b9213b,4237139625,LIBERTY OILFIELD SERVICES,Corrosion Inhibitor,ACI-97,ACETYLENIC ALCOHOL,67-6-3--0,6.26076E-05,142.135
7ccd0fcb-06b7-4370-90b5-38014b42ba17,4237139501,C&J WELL SERVICES,Gelling Agents,GA-7F,DIPORPYLENE GLYCOL MONOMETHYL ETHER,34590-9-4--8,,
19173306-ba16-416c-9cfb-47ca16a9193d,4237139497,,Other Chemicals,,SULFAMIC ACIDEN-BROMO SODIUM SALT,1004542-8-4--0,0,0
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,,,,ACETIC ACID PROPRIETARY FORMULA,64-1-9--7,0.004966169,6452
a65122bc-9830-4e59-a38a-5d79aa6c984d,4237139582,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.00307835,9205
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,LISTED ABOVE,See Trade Name(s) List,Other Chemicals,WATER,773-1-8--2,0.0005691094,1184.964
01e02172-b587-41da-8a6b-530cc6a65135,4237139562,,,,,14808-6-0--7,3.861653,8256730
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,FTSI,Surfactant,SHALE SURF 1000W,15 HCL,7732-1-8--5,0,0
5bcfa4f1-7016-4c04-acb5-a891d8c15403,4237139581,HALLIBURTON,Additive,FE-1A ACIDIZING COMPOSITION,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,,,,POLYOXY-12-ETHANEDIYL ALPHA-SULFO-OMEGA-HYROXY- C10-16-ALKYLETHERS SODIUM SALTS,68585-3-4--2,0.004158494,8658.558
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,PETROLEUM DISTILLATE,64742-4-7--8,0.03352045,52656
635f86b0-7cf6-4abf-bdfd-da66a7412abd,4237139529,,,,AMMONIUM COMPOUND,,0.007170585,19162
5bcfa4f1-7016-4c04-acb5-a891d8c15403,4237139581,LISTED ABOVE,Listed Above,Ingredients,WATER,773-1-8--2,0.689423,2157667
1ac3f2e5-473f-4cf5-a6ed-64954212bb7a,4237139551,MULTIPLE SUPPLIERS,Proppants,Sand,SIO2,60676-8-6--0,7.665899,2.117897E+07
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,,Other Chemicals,,HEMICELLULOSE ENZYME,9012-5-4--8,0,0
7ccd0fcb-06b7-4370-90b5-38014b42ba17,4237139501,,,,IRON OXIDE,1317-6-1--9,0.00337,1517.323
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
b01a6ad3-aeba-422b-8bb4-a3474a608d7c,4237139639,LIBERTY OILFIELD SERVICES,Powder Breaker,BLR-18,AMMONIUM PERSULFATE,7727-5-4--0,0.002203622,4091
863b72b1-503b-4df0-95c9-3c684a562347,4237139435,HALLIBURTON,Additive,FE-2A,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,,,,AMMONIUM CHLORIDE,12125-0-2--9,0.001452106,1887
22846f14-29f4-4107-bdb5-27d4e7ad8da4,4237139508,LIBERTY OILFIELD SERVICES,Powder Breaker,BLR-18,AMMONIUM PERSULFATE,7727-5-4--0,0.001860722,4416
583d9aed-7574-46c5-81ca-dd6da815338c,4237139626,FINORIC,Acid Corrosion Inhibitors,I-123,ALKYL PHENYL ETHOXYLATE,68412-5-4--4,2.764986E-05,61.5909
9b8112e9-217b-4c1d-9329-4c42dcedf676,4237139542,SNF,Friction Reducers,FR-630,ALCOHOLSC1114-ISO-C13- RICH ETHOXYLATED,78330-2-1--9,0.002005507,2140.649
a5c24824-0c7d-4be4-8adc-0e8ce0c2e4c6,4237139487,ASK,Crosslinker,EC200-Crosslinker,POTASSUIM METABORATE,16481-6-6--6,0.0001722458,343.647
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,HALLIBURTON,Friction Reducer,FDP-S1204-15,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
84533a70-28cb-466f-8d22-07869272eaa2,4237139492,HALLIBURTON,Proppant,SAND - COMMON WHITE - 100 MESH,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
863b72b1-503b-4df0-95c9-3c684a562347,4237139435,,,,ORGANIC PHOSPHONIC SALTS,15827-6-0--8,0.007448927,7377
12dac83e-6b52-47a4-9947-a5914752728e,4237139552,NALCO,Biocide,3rd Party Biocide,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
19173306-ba16-416c-9cfb-47ca16a9193d,4237139497,LIBERTY OILFIELD SERVICES,Corrosion Inhibitor,ACI-97,TAR BASES QUINOLINE DERIVS BENZYL CHLORIDE-QUATERNIZED,72480-7-0--7,5.718E-05,128.015
84533a70-28cb-466f-8d22-07869272eaa2,4237139492,HALLIBURTON,Breaker,VICON NF BREAKER,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
21d0633b-5f5b-4b3f-8566-3609751f595e,4237139613,FLOTEK CHEMISTRY,Surfactants,STIMLUBE W,PETROLEUM DISTILLATES HYDROTREATED LIGHT,7791-1-8--6,0.0001629515,389.8616
1e8f345f-7b30-434a-88e4-3ab32ea7de45,4237139663,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.001277,2733.414
eab4b262-47ed-46d7-bca3-441a9a270839,4237139642,LIBERTY OILFIELD SERVICES,Corrosion Inhibitor,ACI-97,ALCOHOLS,68131-3-9--5,6.24882E-05,138.37
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,,14808-6-0--7,3.132147,6471939
b01a6ad3-aeba-422b-8bb4-a3474a608d7c,4237139639,,Other Chemicals,,POLYOXY-12-EHTANEDIYL,34398-0-1--1,0,0
023e4ac2-6386-40b4-828e-3236e0872278,4237139419,INNOSPEC OILFIELD SERVICES,High pH Buffer,GelTrol 225,TETRAHYDRO-35-DIMETHYL-2H-135-THIADIAZINE-2-THIONE,533-7-4--4,0.06781969,8890.179
01e02172-b587-41da-8a6b-530cc6a65135,4237139562,LISTED ABOVE,See Trade Name(s) List,Other Chemicals,WATER,773-1-8--2,0.000633134,1353.725
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,,Other Chemicals,,2-PROPENOIC ACID POLYMER WITH ACRYLAMIDE SODIUM SALT,25987-3-0--8,0,0
e07560e6-431d-4e89-b278-531b92d05681,4237139583,,,,CHRISTOBALITE,14464-4-6--1,8.430426,2.54892E+07
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,,Other Chemicals,,BUFFERING AGENTS,,0,0
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,POLYETHYLENE GLYCOL PEG,,3.501285E-05,56
aed05b5a-4784-4bc1-8805-0cf2c6981391,4237139481,,,,GLASS OXIDE; GLASS,65997-1-7--3,0.003336779,5750
