API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4232937268,,10922,,WOLFCAMP D,10360,c29ea29c-5d57-4ce3-9cb2-9822feb37e2f
4232936810,,10648,,,10578,82ec4db1-48ab-4ae4-bb4a-bb4a1b0f3fd9
4232937268,,10298,,LOWER SPRABERRY,8684,c29ea29c-5d57-4ce3-9cb2-9822feb37e2f
4232937110,,10066,,WOLFCAMP D,7918,6625820b-28c6-4cc1-aa48-a01d64f0ddd7
4232936919,,10470,,WOLFCAMP D,7774,825c1c15-96cd-4ad3-8cb0-1e3096f43709
4232936481,,10740,,,10720,d75201c6-ca22-4a5d-8873-65b9e4acd136
4232937300,,10606,,WOLFCAMP D,10474,553fcf45-841e-48dd-8816-97c9e29825b4
4232937300,,8918,,LOWER SPRABERRY,8717,553fcf45-841e-48dd-8816-97c9e29825b4
4232936481,,10540,,UPPER SPRABERRY,8212,d75201c6-ca22-4a5d-8873-65b9e4acd136
4232936919,,11180,,,10765,825c1c15-96cd-4ad3-8cb0-1e3096f43709
4232937143,,10690,,,10627,058db0b9-932b-4734-8c73-1860ffebe88b
4232937300,,8589,,UPPER SPRABERRY,7990,553fcf45-841e-48dd-8816-97c9e29825b4
4232937143,,10507,,UPPER SPRABERRY,8345,058db0b9-932b-4734-8c73-1860ffebe88b
4232937300,,10370,,WOLFCAMP C,9052,553fcf45-841e-48dd-8816-97c9e29825b4
4232937143,,11636,,,11000,058db0b9-932b-4734-8c73-1860ffebe88b
4232937083,,10592,,LOWER SPRABERRY,8724,cc626a7c-1a15-4abf-b2f1-3820265d37fd
4232937055,,10564,,UPPER SPRABERRY,7560,a9df34f0-2115-41be-b865-d0a62b2c4534
4232937215,,10142,,WOLFCAMP D,7996,3dd9932e-725a-4d29-afee-f27e3d0bce05
4232936683,,8901,,LOWER SPRABERRY,8757,5f5be7e2-8f47-46a4-852e-007378275bfe
4232937063,,10105,,WOLFCAMP D,10030,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232937338,,10507,,WOLFCAMP D,8304,d3d5a936-2a7c-40d8-aad7-1498963f36ca
4232937063,,9316,,WOLFCAMP A,9185,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232937256,,10590,,WOLFCAMP D,10438,23dd05a3-aa9a-4e7c-8f19-a09164f9dd0d
4232937338,,11091,,,10631,d3d5a936-2a7c-40d8-aad7-1498963f36ca
4232937063,,10479,,,10272,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232936683,,10377,,WOLFCAMP A,9016,5f5be7e2-8f47-46a4-852e-007378275bfe
4232937256,,8594,,LOWER SPRABERRY,7905,23dd05a3-aa9a-4e7c-8f19-a09164f9dd0d
4232937059,,9052,,LOWER SPRABERRY,8813,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232937063,,8509,,LOWER SPRABERRY,8240,08414a50-81cc-4d77-9cb3-7164929dd8d0
