API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4237132747,,1736,,,1726,1e1643f0-8657-467f-8583-d96d3304f3a0
4237132747,,1787,,,1726,1e1643f0-8657-467f-8583-d96d3304f3a0
4237133048,,2598,,,1660,cef5eeee-0ad2-4d18-9299-e449ba68ab38
4237132747,,1787,,,1768,1e1643f0-8657-467f-8583-d96d3304f3a0
4237133048,,1888,,,1781,cef5eeee-0ad2-4d18-9299-e449ba68ab38
4237132747,,1787,,,1726,1e1643f0-8657-467f-8583-d96d3304f3a0
4237132747,,1690,,,1440,1e1643f0-8657-467f-8583-d96d3304f3a0
4237135215,,1410,,,1344,cebfd680-5c2f-4f2b-923f-eb72f2a62fd0
4237135345,,1457,,,1416,43c06deb-3c8e-4e29-be02-47dbbb107c21
4237135345,,3009,,,1342,43c06deb-3c8e-4e29-be02-47dbbb107c21
4237139132,,6270,,,6190,1f449e16-950d-4146-98b3-e788de98a627
4237139132,,6800,,,6790,1f449e16-950d-4146-98b3-e788de98a627
4237135788,,1611,,,1592,0e93d160-22da-42c6-9966-d645e12771ba
4237135788,,1662,,,1652,0e93d160-22da-42c6-9966-d645e12771ba
4237139002,,13200,,,9715,eecb80be-38f3-4390-9a88-365632f4306b
4237135788,,1647,,,1634,0e93d160-22da-42c6-9966-d645e12771ba
4237135788,,1627,,,1618,0e93d160-22da-42c6-9966-d645e12771ba
4237139033,,1832,,,1818,15e8da6c-f159-4859-9fd8-bf3a4a8017f7
4237135788,,1662,,,1592,0e93d160-22da-42c6-9966-d645e12771ba
4237139224,,5910,,,5505,bf1b2221-2750-45ff-acc7-acd6ff7e6d6d
4237134846,,2722,,,1787,b284a88a-7b91-4540-8edc-696c0a104d98
4237134846,,1804,,,1590,b284a88a-7b91-4540-8edc-696c0a104d98
4237133420,,2261,,,1523,9aabc0e6-4553-42f9-9ade-23150f87687d
4237134846,,1799,,,1795,b284a88a-7b91-4540-8edc-696c0a104d98
4237134846,,1846,,,1756,b284a88a-7b91-4540-8edc-696c0a104d98
4237133420,,1602,,,1557,9aabc0e6-4553-42f9-9ade-23150f87687d
4237133420,,2010,,,1523,9aabc0e6-4553-42f9-9ade-23150f87687d
4237134282,,1462,,,1411,0457e370-99cd-45ed-966b-d8073f731dfb
4237133420,,1784,,,1524,9aabc0e6-4553-42f9-9ade-23150f87687d
4237134282,,1448,,,1378,0457e370-99cd-45ed-966b-d8073f731dfb
4237133420,,1557,,,1122,9aabc0e6-4553-42f9-9ade-23150f87687d
4237134282,,1462,,,1411,0457e370-99cd-45ed-966b-d8073f731dfb
4237139107,,6339,,,4307,3726665a-00cd-4e99-9c12-3beb80aaafd4
4237134282,,1487,,,1476,0457e370-99cd-45ed-966b-d8073f731dfb
4237134282,,1404,,,1378,0457e370-99cd-45ed-966b-d8073f731dfb
4237135221,,1370,,,1320,595bd248-16c1-461a-abf6-1f73239b0a59
4237134282,,1404,,,1378,0457e370-99cd-45ed-966b-d8073f731dfb
4237135221,,1352,,,1326,595bd248-16c1-461a-abf6-1f73239b0a59
4237134282,,2954,,,1381,0457e370-99cd-45ed-966b-d8073f731dfb
4237134282,,2247,,,0,0457e370-99cd-45ed-966b-d8073f731dfb
4237139158,,8980,,,7268,78279b84-13d3-4507-9e29-0fab37f04366
4237139070,,12724,,,8531,5da5b5d5-39f3-4e0e-a5ea-55d7536031c7
4237138935,,1734,,,1724,38640817-9c90-4323-853a-3e62e9d0d69c
4237138935,,1746,,,1736,38640817-9c90-4323-853a-3e62e9d0d69c
