API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
04030272810000,5/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,100,9440,a82c1c0d-2797-4af8-9187-54ce8663f446
04030272810000,6/1/2009 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,600,4028,a82c1c0d-2797-4af8-9187-54ce8663f446
04030386480000,2/1/2014 12:00:00 AM,Lost Hills,TULARE,Lost Hills Govt.,AERA ENERGY LLC,TULARE,0,0,0,240,1731,927e9b1b-f84f-459b-b338-f8446734783e
04030315870000,9/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,125,2855,f8a967bc-f3d7-440b-a220-01b919edca83
04030272810000,3/1/2013 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,140,12722,a82c1c0d-2797-4af8-9187-54ce8663f446
04030386480000,11/1/2009 12:00:00 AM,Lost Hills,TULARE,Lost Hills Govt.,AERA ENERGY LLC,TULARE,0,0,0,203,816,927e9b1b-f84f-459b-b338-f8446734783e
04030272810000,4/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,100,1078,a82c1c0d-2797-4af8-9187-54ce8663f446
04030272810000,10/1/2011 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,200,563,a82c1c0d-2797-4af8-9187-54ce8663f446
04030328690000,6/1/2013 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,23,2467,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030315870000,6/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,400,9954,f8a967bc-f3d7-440b-a220-01b919edca83
04030328690000,8/1/2013 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,42,2311,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030386480000,10/1/2009 12:00:00 AM,Lost Hills,TULARE,Lost Hills Govt.,AERA ENERGY LLC,TULARE,0,0,0,179,762,927e9b1b-f84f-459b-b338-f8446734783e
04030328690000,8/1/2009 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,27,2420,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030272810000,6/1/2006 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,160,1554,a82c1c0d-2797-4af8-9187-54ce8663f446
04030328690000,8/1/2011 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,33,3908,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030315870000,10/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,125,5457,f8a967bc-f3d7-440b-a220-01b919edca83
04030328690000,9/1/2009 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,73,2918,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
