API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
3002120638,,Surface Casing,24,400,8/6/2014 12:00:00 AM,772,0,8.625,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Production Casing,15.5,0,8/10/2014 12:00:00 AM,2245,2060,5.5,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Hole 1,0,0,8/6/2014 12:00:00 AM,792,0,12.25,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Hole 2,0,0,8/10/2014 12:00:00 AM,2270,792,7.875,2313e93e-9d78-43de-b078-7e34b846fa12
4225533911,13.375,Casing,,950,,1706,,17.5,8682c883-6976-4054-bba6-f61b6b046a59
4238935477,11.75,Casing,,974,,792,,14.75,8a65cc6e-a72b-43e9-a0d9-d12661c56067
4238936039,5,Casing,,640,,17895,6985,6.75,e9b53b3f-ce7b-4a61-8401-875ceded432b
4238936039,7.625,Casing,,710,,9214,200,9.875,e9b53b3f-ce7b-4a61-8401-875ceded432b
4247943658,9.625,Casing,,840,,4277,,12.25,b4d95480-59d0-4c41-90e6-e35d72f60d1b
4225533911,9.625,Casing,,2260,,9505,,12.25,8682c883-6976-4054-bba6-f61b6b046a59
4217337530,13.375,Casing,,440,,376,,17.5,095cdf18-c764-432f-bf5d-c1212e5784c5
4225533912,9.625,Casing,,2260,,9128,,12.25,f93bcdcf-5ccd-4d65-8692-f53341d6ac9f
4225533912,5.5,Casing,,1815,,20210,8630,8.5,f93bcdcf-5ccd-4d65-8692-f53341d6ac9f
4232941431,13.375,Casing,,1255,,1725,0,17.5,0a661aec-3798-46d7-ac9c-2fc6563f2e92
4223933833,7,Casing,,1004,,6505,0,9.875,db1c7508-1af8-47eb-8d04-f7802e0be0c0
4232941431,9.625,Casing,,759,,8988,4432,12.25,0a661aec-3798-46d7-ac9c-2fc6563f2e92
4239532008,5,Casing,,1040,,14895,9228,6.5,d59437cb-0076-4957-b5a4-700f621fa957
4223933833,9.625,Casing,,1095,,2300,0,12.25,db1c7508-1af8-47eb-8d04-f7802e0be0c0
4239532008,7.625,Liner,,210,,14150,12500,8.5,d59437cb-0076-4957-b5a4-700f621fa957
4225533911,5.5,Casing,,1780,,19988,8633,8.5,8682c883-6976-4054-bba6-f61b6b046a59
4238936039,16,Casing,,940,,1058,0,20,e9b53b3f-ce7b-4a61-8401-875ceded432b
17099216570000,8.625,,32,370,11/16/2017 12:00:00 AM,970,0,11,1c6a82c2-8924-45fe-bb3f-314fefa2c8b4
17049208370000,5.5,,18,1296,12/14/2017 12:00:00 AM,18860,0,6.75,407a1b33-59ef-4075-aaf1-d5a74067b08b
17015250910000,10.75,,40.5,3,9/15/2017 12:00:00 AM,100,0,14.75,fe5bd53c-0431-44c8-946c-524b5fb960a4
4228336002,5.5,Casing,,2725,,19949,5796,8.5,a71294f8-86c4-47b8-8c85-0fe53fde2a2b
4238935797,7.625,Liner,,354,,10308,4887,8.5,4b272c04-9a07-41cb-ad47-dc7f3edec9cf
4225134578,5.5,Casing,,1940,,12904,,8.75,4481b369-9337-49eb-bea4-1cbf009ec586
4232941508,7.625,Liner,,205,,8825,5981,8.5,a322fbc6-9553-4de7-81cf-fc1e1a0c98f2
4247537243,5.5,Liner,,2575,,22305,10432,8.5,48a0a964-80fe-4cc8-85c3-bc12d4e3955a
4216538536,7,Casing,,1100,,6087,,8.75,deff0ac1-ae25-412f-aaaf-4517fd57eab2
4213138979,9.625,Casing,53.5,485,,8852,7000,12.25,3ac18c1e-e2db-4022-a44b-c2d1290acd5c
4213138979,4.5,Casing,13.5,500,,10200,7978,8.5,3ac18c1e-e2db-4022-a44b-c2d1290acd5c
4213138979,13.375,Casing,68,910,,1510,,17.5,3ac18c1e-e2db-4022-a44b-c2d1290acd5c
4247940725,4.5,Casing,15.1,475,4/26/2010 12:00:00 AM,10756,5900,6.75,2bbcc2c1-ec65-40d2-8c7b-c81be28afa42
4247940725,2.875,Liner,45.5,187,4/26/2010 12:00:00 AM,11857,8045,,2bbcc2c1-ec65-40d2-8c7b-c81be28afa42
4247940725,2.875,Liner,,187,4/26/2010 12:00:00 AM,11857,8045,,2bbcc2c1-ec65-40d2-8c7b-c81be28afa42
4247940725,7.625,Casing,29.7,405,4/26/2010 12:00:00 AM,7950,5900,9.875,2bbcc2c1-ec65-40d2-8c7b-c81be28afa42
4247941392,9.625,Casing,40,1200,,3000,,12.25,b88c6782-18c9-4fa5-965f-8314705f5a0a
17015250940000,10.75,,40.5,3,9/20/2017 12:00:00 AM,100,0,14.75,607f2111-59d9-41cc-a9d9-e8321bbdc76a
17015250510000,7.625,,29.7,1205,9/19/2017 12:00:00 AM,10296,0,9.875,e223fdba-895b-447e-b0b2-7a68222271f4
4235733641,4.5,Liner,,415,,11452,6736,6.125,cfa43b25-c82c-4e91-8e6a-91de1b56ddf5
49025072890000,5.5,,,,,,3029,,910fdd6b-ed59-4d2f-b0fe-e6e6acdf8ee8
49025072890000,7,,,,,,2326,,910fdd6b-ed59-4d2f-b0fe-e6e6acdf8ee8
4230132923,9.375,Casing,,1508,,5239,0,12.25,eb633803-9072-4170-a7bf-224785965fc2
4238935151,9.625,Casing,,637,,4357,100,10.625,cfe2445c-1b20-44ab-a870-5a2076f3e18d
4230132921,4.5,Liner,,912,,22905,11761,6.125,8d84ac1b-6401-41fc-b2aa-da7305ab9956
4247938282,7,Casing,23,220,,7716,6695,8.875,7e940a37-416f-4dc1-a264-012e8f52d185
4247938282,9.625,Casing,36,620,,1544,,12.25,7e940a37-416f-4dc1-a264-012e8f52d185
4247938282,4.5,Casing,11.6,270,,10235,7195,6.25,7e940a37-416f-4dc1-a264-012e8f52d185
4200932368,4.5,Casing,0,150,6/4/1977 12:00:00 AM,4361,,7.875,6719f2d7-116c-4c5f-a709-a30e71ba8600
4200932368,8.625,Casing,0,85,6/4/1977 12:00:00 AM,105,,12,6719f2d7-116c-4c5f-a709-a30e71ba8600
4200932368,8.625,Casing,24,85,,105,,12,6719f2d7-116c-4c5f-a709-a30e71ba8600
4200932368,,Casing,0,100,,0,3478,7.875,6719f2d7-116c-4c5f-a709-a30e71ba8600
4200932368,4.5,Casing,10.5,150,,4361,3696,7.875,6719f2d7-116c-4c5f-a709-a30e71ba8600
4219531922,4.5,Liner,,395,,11066,6360,6.125,62666406-b18b-4275-98aa-7b19094db98b
17059266420000,5.5,,15.5,200,2/15/2017 12:00:00 AM,2965,0,7.875,52751b78-e6fd-4496-a15c-e8ba09e2283f
4238935571,4.5,Liner,,456,,15027,9433,6.125,209f6a21-a067-4702-88e8-eadd27cb7564
17075245620000,9.625,,36,1010,4/3/2017 12:00:00 AM,2486,0,12.25,1e13abf0-b6af-4389-8186-6c1b283c2b5d
4247937411,9.625,Casing,36,508,,1585,,12.25,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247937411,4.5,Casing,13.5,292,,10399,7361,6.25,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247937411,7,Casing,23,205,,7961,6461,8.75,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4221533152,7.625,Liner,,440,,10423,7767,,a55a8bc7-e6a5-4ece-8825-e2d51e3ef9e4
4221533152,7.625,Liner,61,440,,10423,7767,,a55a8bc7-e6a5-4ece-8825-e2d51e3ef9e4
4221533152,9.875,Casing,62.8,766,,8128,4933,12.25,a55a8bc7-e6a5-4ece-8825-e2d51e3ef9e4
4221533152,3.5,Casing,12.9,440,,14324,5657,6.5,a55a8bc7-e6a5-4ece-8825-e2d51e3ef9e4
4222738117,8.625,Casing,,490,,3842,1245,11,e82c6167-7206-4517-8d68-4709f629ac1e
4222738117,13.375,Casing,,370,,353,0,17.5,e82c6167-7206-4517-8d68-4709f629ac1e
4222738117,5.5,Casing,,725,,9131,2461,7.875,e82c6167-7206-4517-8d68-4709f629ac1e
33053068210000,,,,,,,11637,,2e852d7a-bea1-4e3c-9f93-01df39214ec1
33053068210000,625,,,,,,2013,,2e852d7a-bea1-4e3c-9f93-01df39214ec1
33053068220000,625,,,,,,2003,,36e8b51f-32c5-45bb-9e79-0c281b833865
33053068220000,,,,,,,11387,,36e8b51f-32c5-45bb-9e79-0c281b833865
33053068200000,625,,,,,,2019,,3753191c-0b63-4381-a7a7-ef5aceea585e
33053068200000,,,,,,,11400,,3753191c-0b63-4381-a7a7-ef5aceea585e
4238935158,11.75,Casing,,1625,,1320,0,14.75,4e5be8f4-d6a8-4115-9e65-53cc1c48ada4
4238935158,7.625,Casing,,265,,9669,4417,8.75,4e5be8f4-d6a8-4115-9e65-53cc1c48ada4
4238935158,9.625,Casing,,540,,4125,0,10.625,4e5be8f4-d6a8-4115-9e65-53cc1c48ada4
4238935158,4.5,Casing,,950,,14813,9600,6.75,4e5be8f4-d6a8-4115-9e65-53cc1c48ada4
4235733639,4.5,Liner,,485,,12154,6768,6.125,398c33b0-9e6e-4d79-837c-16d69187482e
4238934718,4.5,Casing,,978,,15656,9000,6.75,feae2cc8-6439-4a22-8aa7-0f7fb28507d7
4238934718,5.5,Casing,,978,,10217,9000,6.75,feae2cc8-6439-4a22-8aa7-0f7fb28507d7
4230132298,11.75,Casing,,1362,,1008,0,14.75,4223e1d1-5fcc-4410-acbb-3e7c8c840dc3
3002543923,,Surface Casing,54.5,990,,1066,0,13.375,430905d9-8e4b-40b3-97d4-9aa7581e830d
3002544103,,Hole 3,0,0,10/27/2017 12:00:00 AM,11820,5313,8.75,7d00533e-552d-40c8-a21a-51eebb70de4f
3002544007,,Surface Casing,40.5,840,,1006,0,10.75,13dd2baf-8a57-4fc7-ac28-34fbd04cff7c
3002544060,,Surface Casing,40.5,910,,1050,0,10.75,6e23825f-b2a2-4c43-9136-785b2a183e99
3002542837,,Intermediate 1 Casing,40,1000,,4966,0,9.625,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002544060,,Hole 3,0,0,10/14/2017 12:00:00 AM,17247,11760,6.75,6e23825f-b2a2-4c43-9136-785b2a183e99
3002544008,,Production Casing,23,795,,19746,0,5.5,4f60b408-3a28-42d4-a5f0-d245641683fc
3002544009,,Surface Casing,40.5,850,,1002,0,10.75,c63195c6-f342-4ac7-877e-4acfc526c673
3002544007,,Intermediate 1 Casing,29.7,2585,,11658,0,7.625,13dd2baf-8a57-4fc7-ac28-34fbd04cff7c
3002544103,,Hole 1,0,0,10/22/2017 12:00:00 AM,1064,0,17.5,7d00533e-552d-40c8-a21a-51eebb70de4f
3002544103,,Hole 2,0,0,10/24/2017 12:00:00 AM,5313,1064,12.25,7d00533e-552d-40c8-a21a-51eebb70de4f
3002543238,,Hole 2,0,0,7/28/2017 12:00:00 AM,5168,1352,12.25,b47ec6e2-3005-4fc3-88f5-a58739a664b5
3002543883,,Surface Casing,54.5,1780,,1815,0,13.375,1574caf7-0adb-40c5-a505-d39fb1334eb2
3002544008,,Surface Casing,40.5,810,,1026,0,10.75,4f60b408-3a28-42d4-a5f0-d245641683fc
3002543883,,Hole 1,0,0,6/28/2017 12:00:00 AM,1815,0,17.5,1574caf7-0adb-40c5-a505-d39fb1334eb2
3002544103,,Surface Casing,54.5,1190,,1064,0,13.375,7d00533e-552d-40c8-a21a-51eebb70de4f
3002544007,,Hole 3,0,0,10/26/2017 12:00:00 AM,19710,11658,6.75,13dd2baf-8a57-4fc7-ac28-34fbd04cff7c
3002544060,,Production Casing,20,635,,17247,0,5.5,6e23825f-b2a2-4c43-9136-785b2a183e99
3002543923,,Hole 2,0,0,9/10/2017 12:00:00 AM,4914,1066,12.25,430905d9-8e4b-40b3-97d4-9aa7581e830d
3002544008,,Intermediate 1 Casing,29.7,2635,,11611,0,7.625,4f60b408-3a28-42d4-a5f0-d245641683fc
3002543838,,Surface Casing,68,725,,902,0,13.375,d5e789c2-8715-44d7-bec1-be63b86d4d1d
3002544008,,Hole 1,0,0,9/23/2017 12:00:00 AM,1026,0,14.75,4f60b408-3a28-42d4-a5f0-d245641683fc
4249532691,5.5,Casing,17,1075,7/17/1997 12:00:00 AM,5795,965,7.875,f78db252-fb7e-453c-aca4-89d61d5d0c12
4249532691,9.625,Casing,32.3,300,7/17/1997 12:00:00 AM,624,0,12.25,f78db252-fb7e-453c-aca4-89d61d5d0c12
4243936674,9.625,Casing,40,430,,1541,,12.25,47a14509-9009-46da-9ccc-56744cb44c39
4243936674,5.5,Casing,20,1395,,14285,893,8.75,47a14509-9009-46da-9ccc-56744cb44c39
3002542116,,Hole 2,0,0,8/24/2017 12:00:00 AM,5187,1549,8.75,85f88048-142e-4b8d-9a94-c6623b6cb933
3002543248,,Production Casing,20,2400,,14545,0,5.5,282efce2-c8a0-4dd2-99b3-6e5de232a78d
3002543186,,Production Casing,17,2450,,19562,0,5.5,23e96e71-7737-487c-a191-6f54124b0672
3002543894,,Hole 1,0,0,8/19/2017 12:00:00 AM,960,0,14.75,91d472c6-8452-41cb-9335-a3f9cf357c03
3002543805,,Surface Casing,40.5,1005,,1354,0,10.75,d7da67a9-acf8-4b43-8cf8-875d6a8e6b2d
3002543909,,Hole 2,0,0,9/25/2017 12:00:00 AM,5369,1761,12.25,f47b585e-534f-46fa-b44e-3dc26ef41de2
3002543248,,Hole 3,0,0,8/21/2017 12:00:00 AM,14545,5410,8.5,282efce2-c8a0-4dd2-99b3-6e5de232a78d
3002543186,,Surface Casing,54.5,830,,834,0,13.375,23e96e71-7737-487c-a191-6f54124b0672
3002543838,,Hole 3,0,0,8/12/2017 12:00:00 AM,22017,11882,8.5,d5e789c2-8715-44d7-bec1-be63b86d4d1d
3002543806,,Hole 3,0,0,10/26/2017 12:00:00 AM,22530,11874,6.75,8c89911c-fc2e-46fd-bfd8-f75644aaa99b
3002543237,,Intermediate 1 Casing,40,1615,,5169,0,9.625,b98495e6-a6f4-422a-8e9f-a2de69624dc7
3002543186,,Hole 1,0,0,8/26/2017 12:00:00 AM,840,0,17.5,23e96e71-7737-487c-a191-6f54124b0672
