Api,Wellid,Reservoir,Cumulativeoil,Cumulativegas,Cumulativeboe,Cumulativewater,Cumulativedays,Firstproddate,Lastproddate,Lasttestdate,Ipoil,Ipgas,Firstthreemonthoil,Firstthreemonthmaxoil,Firstthreemonthoildecline,Firstthreemonthgas,Firstthreemonthmaxgas,Firstthreemonthgasdecline,Firstthreemonthboe,Firstthreemonthmaxboe,Firstthreemonthboedecline,Firstthreemonthwater,Firstthreemonthmaxwater,Firstthreemonthwaterdecline,Firstthreemonthdays,Firstsixmonthoil,Firstsixmonthoildecline,Firstsixmonthgas,Firstsixmonthgasdecline,Firstsixmonthboe,Firstsixmonthboedecline,Firstsixmonthwater,Firstsixmonthwaterdecline,Firstsixmonthdays,Firsttwelvemonthoil,Firsttwelvemonthoildecline,Firsttwelvemonthgas,Firsttwelvemonthgasdecline,Firsttwelvemonthboe,Firsttwelvemonthboedecline,Firsttwelvemonthwater,Firsttwelvemonthwaterdecline,Firsttwelvemonthdays,Firsttwentyfourmonthoil,Firsttwentyfourmonthoildecline,Firsttwentyfourmonthgas,Firsttwentyfourmonthgasdecline,Firsttwentyfourmonthboe,Firsttwentyfourmonthboedecline,Firsttwentyfourmonthwater,Firsttwentyfourmonthwaterdecline,Firsttwentyfourmonthdays,Firstthirtysixmonthoil,Firstthirtysixmonthoildecline,Firstthirtysixmonthgas,Firstthirtysixmonthgasdecline,Firstthirtysixmonthboe,Firstthirtysixmonthboedecline,Firstthirtysixmonthwater,Firstthirtysixmonthwaterdecline,Firstthirtysixmonthdays,Firstsixtymonthoil,Firstsixtymonthoildecline,Firstsixtymonthgas,Firstsixtymonthgasdecline,Firstsixtymonthboe,Firstsixtymonthboedecline,Firstsixtymonthwater,Firstsixtymonthwaterdecline,Firstsixtymonthdays,Maxmonthoil,Maxoilmonthdays,Maxoilmonth,Maxoilmonthnumber,Maxmonthgas,Maxgasmonthdays,Maxgasmonth,Maxgasmonthnumber,Maxmonthboe,Maxboemonthdays,Maxboemonth,Maxboemonthnumber,Maxmonthwater,Maxwatermonthdays,Maxwatermonth,Maxwatermonthnumber,Maxthreemonthoil,Maxoilthreemonthdays,Maxthreemonthgas,Maxgasthreemonthdays,Maxthreemonthboe,Maxboethreemonthdays,Maxthreemonthwater,Maxwaterthreemonthdays,Maxsixmonthoil,Maxoilsixmonthdays,Maxsixmonthgas,Maxgassixmonthdays,Maxsixmonthboe,Maxboesixmonthdays,Maxsixmonthwater,Maxwatersixmonthdays,Maxtwelvemonthoil,Maxoiltwelvemonthdays,Maxtwelvemonthgas,Maxgastwelvemonthdays,Maxtwelvemonthboe,Maxboetwelvemonthdays,Maxtwelvemonthwater,Maxwatertwelvemonthdays,Lastsixmonthoil,Lastsixmonthoildecline,Lastsixmonthgas,Lastsixmonthgasdecline,Lastsixmonthboe,Lastsixmonthboedecline,Lastsixmonthwater,Lastsixmonthwaterdecline,Lastsixmonthdays,Lasttwelvemonthoil,Lasttwelvemonthoildecline,Lasttwelvemonthgas,Lasttwelvemonthgasdecline,Lasttwelvemonthboe,Lasttwelvemonthboedecline,Lasttwelvemonthwater,Lasttwelvemonthwaterdecline,Lasttwelvemonthdays,Datecreated,Datelastmodified,Totalproducingdays,Totalproducingmonths,Firstmonthoil,Firstmonthgas,Firstmonthwater,Firstmonthboe,Lastmonthoil,Lastmonthgas,Lastmonthwater,Lastmonthboe,Eurboe,Euroil,Eurgas,Eurwater,Firsttwomonthoil,Firsttwomonthmaxoil,Firsttwomonthoildecline,Firsttwomonthgas,Firsttwomonthmaxgas,Firsttwomonthgasdecline,Firsttwomonthboe,Firsttwomonthmaxboe,Firsttwomonthboedecline,Firsttwomonthwater,Firsttwomonthmaxwater,Firsttwomonthwaterdecline,Firsttwomonthdays
49037295310000,a881ca59-d922-4b64-a14b-09ebeb9a75f4,MESAVERDE,2789,80181,16152.5,2046,90,1/1/2018 12:00:00 AM,3/1/2018 12:00:00 AM,,,,2789,,61.9462599854757,80181,,26.0692878187545,16152.5,,26.7615888682145,2046,,65.1474530831099,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,31,1/1/2018 12:00:00 AM,1,29529,28,2/1/2018 12:00:00 AM,2,6180.5,31,1/1/2018 12:00:00 AM,1,1119,31,3/1/2018 12:00:00 AM,3,1377,31,29529,28,6180.5,31,1119,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/3/2017 1:47:14 AM,10/3/2017 1:47:14 AM,90,3,1377,28821,537,6180.5,888,21831,1119,4526.5,86204.3455097909,50521.6345468433,214096.265777686,267249,1901,,61.9462599854757,58350,,2.39764299502184,11626,,11.8922417280155,927,,27.3743016759777,59
49025240130000,522f3e2d-5cfb-4e8d-aff5-376dca8631e0,LANCE,605,96874,16750.6665039063,28986,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,605,,21.0300429184549,96874,,23.4358129226573,16750.6665039063,,21.9646474256264,28986,,37.6507294038283,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,30,4/1/2018 12:00:00 AM,3,35194,28,2/1/2018 12:00:00 AM,1,6053.66650390625,28,2/1/2018 12:00:00 AM,1,11859,28,2/1/2018 12:00:00 AM,1,233,30,35194,28,6053.66650390625,28,11859,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/3/2017 6:29:47 AM,10/3/2017 6:29:47 AM,89,3,188,35194,11859,6053.66650390625,233,26946,7394,4724,120212.449469086,55826,386318.696814515,72340.1486642564,372,,2.12765957446809,69928,,1.3070409728931,12026.6665039063,,1.33252308917576,21592,,17.9273125895944,59
3002543370,85e61139-d3ad-44f1-938d-4c0501cc550e,"YESO, WEST",246,225,283.5,59,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,11/9/2017 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,28,2/1/2018 12:00:00 AM,2,135,31,1/1/2018 12:00:00 AM,1,144,28,2/1/2018 12:00:00 AM,2,31,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 6:24:24 PM,11/17/2017 6:24:24 PM,59,2,117,135,31,139.5,129,90,28,144,,,,,246,,9.30232558139535,225,,33.3333333333333,283.5,,3.125,59,,9.67741935483871,59
3002543371,a44d2556-0e59-4f6e-9012-545e46136cb7,"YESO, WEST",129,90,144,28,28,2/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,11/8/2017 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,28,2/1/2018 12:00:00 AM,1,90,28,2/1/2018 12:00:00 AM,1,144,28,2/1/2018 12:00:00 AM,1,28,28,2/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 8:23:56 PM,11/17/2017 8:23:56 PM,28,1,129,90,28,144,129,90,28,144,,,,,,,,,,,,,,,,,
3001543869,34e06e8e-a7f2-45dd-8e7b-9feb18011fe8,WOLFCAMP (GAS),16020,36349,22078.1669921875,50809,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,10/28/2017 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8860,31,1/1/2018 12:00:00 AM,1,20110,31,1/1/2018 12:00:00 AM,1,12211.6669921875,31,1/1/2018 12:00:00 AM,1,26154,28,2/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 6:01:30 PM,11/17/2017 6:01:30 PM,59,2,8860,20110,24655,12211.6669921875,7160,16239,26154,9866.5,,,,,16020,,19.1873589164786,36349,,19.249129786176,22078.1669921875,,19.2043149693472,50809,,5.73143687390074,59
3001543884,4a459b48-3129-43d7-b5cd-91f3886459ee,WOLFCAMP (GAS),2873,31185,8070.5,31659,28,2/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,2/25/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873,28,2/1/2018 12:00:00 AM,1,31185,28,2/1/2018 12:00:00 AM,1,8070.5,28,2/1/2018 12:00:00 AM,1,31659,28,2/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 4:18:21 PM,11/17/2017 4:18:21 PM,28,1,2873,31185,31659,8070.5,2873,31185,31659,8070.5,,,,,,,,,,,,,,,,,
33105042860000,b2d32f11-6448-4d18-ab2d-35ac0a428028,BAKKEN,21622,21758,25248.333656311,71800,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,21622,,99.5991561181435,21758,,99.5760945100764,25248.333656311,,99.5958279320497,71800,,98.619957537155,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14220,30,4/1/2018 12:00:00 AM,3,14390,30,4/1/2018 12:00:00 AM,3,16618.333984375,30,4/1/2018 12:00:00 AM,3,43332,30,4/1/2018 12:00:00 AM,3,14220,30,14390,30,16618.333984375,30,43332,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:34:47 AM,11/21/2017 6:34:47 AM,89,3,57,61,598,67.1666641235352,14220,14390,43332,16618.333984375,3963793.33333333,3391762,3432188,10341484,7402,,99.2239618788291,7368,,99.1651840700698,8629.99967193604,,99.2156023121991,28468,,97.8543236454969,59
33105042850000,6b019cfa-1b03-4834-aff2-412bcd95cf58,BAKKEN,27967,24843,32107.5,83418,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,27967,,100,24843,,100,32107.5,,100,83418,,98.8058866990156,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16213,30,4/1/2018 12:00:00 AM,3,15480,30,4/1/2018 12:00:00 AM,3,18793,30,4/1/2018 12:00:00 AM,3,50079,30,4/1/2018 12:00:00 AM,3,16213,30,15480,30,18793,30,50079,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:34:47 AM,11/21/2017 6:34:47 AM,89,3,0,0,598,0,16213,15480,50079,18793,4486048.5,3870448,3693603,11952141,11754,,100,9363,,100,13314.5,,100,33339,,98.1735438746526,59
33105042840000,e10165a7-0e1f-4aef-b560-909743941134,BAKKEN,18648,4702,19431.6663513184,71470,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,18648,,96.0731021555764,4702,,100,19431.6663513184,,95.8825366119413,71470,,96.1235681747822,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10670,31,3/1/2018 12:00:00 AM,2,4580,30,4/1/2018 12:00:00 AM,3,10670,31,3/1/2018 12:00:00 AM,2,45222,31,3/1/2018 12:00:00 AM,2,10670,31,4580,30,10670,31,45222,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:34:47 AM,11/21/2017 6:34:47 AM,89,3,419,122,1753,439.333343505859,7559,4580,24495,8322.3330078125,240529.467299946,58835.8006332797,1090162,139750.767958359,11089,,96.0731021555764,122,,100,11109.3333435059,,95.8825366119413,46975,,96.1235681747822,59
33053077240000,f191ab6a-c392-46f4-847c-4a1cfec1ddba,BAKKEN,42032,64536,52787.9985351563,49730,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,42032,,74.3587768620504,64536,,81.2436758347898,52787.9985351563,,75.8610985234774,49730,,76.8418298943789,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25966,30,4/1/2018 12:00:00 AM,3,43484,30,4/1/2018 12:00:00 AM,3,33213.33203125,30,4/1/2018 12:00:00 AM,3,30581,30,4/1/2018 12:00:00 AM,3,25966,30,43484,30,33213.33203125,30,30581,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2017 10:46:21 PM,9/20/2017 10:46:21 PM,89,3,6658,8156,7082,8017.33349609375,25966,43484,30581,33213.33203125,7924348,6195974,10370244,7297427,16066,,29.2304421768708,21052,,36.7555831265509,19574.6665039063,,30.629899729685,19149,,41.3110135079141,59
33053077250000,63e65f59-88e4-4114-b73a-da6feb3dffd8,BAKKEN,49525,66376,60587.66796875,51584,61,3/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27911,30,4/1/2018 12:00:00 AM,2,38305,30,4/1/2018 12:00:00 AM,2,34295.16796875,30,4/1/2018 12:00:00 AM,2,30030,30,4/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/7/2017 8:16:19 AM,10/7/2017 8:16:19 AM,61,2,21614,28071,21554,26292.5,27911,38305,30030,34295.16796875,,,,,49525,,22.5609974562001,66376,,26.7171387547318,60587.66796875,,23.3346807808088,51584,,28.2251082251082,61
33053077230000,1d1ec529-27b3-4c53-a102-db27cade41e3,BAKKEN,73760,98653,90202.1685791016,44588,89,2/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,73760,,97.6724273507261,98653,,97.7335904435151,90202.1685791016,,97.6839689162289,44588,,97.6318882666114,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57227,30,4/1/2018 12:00:00 AM,3,79862,30,4/1/2018 12:00:00 AM,3,70537.3359375,30,4/1/2018 12:00:00 AM,3,28926,30,4/1/2018 12:00:00 AM,3,57227,30,79862,30,70537.3359375,30,28926,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2017 10:31:03 PM,9/20/2017 10:31:03 PM,89,3,15201,16981,14977,18031.166015625,57227,79862,28926,70537.3359375,16807550.1666667,13636559,19025947,6900050,16533,,91.2374185908822,18791,,89.3410282079972,19664.8326416016,,90.9397616074252,15662,,95.4263203578821,59
4205133985,53970f1f-3450-4bf3-baf1-19a4a34a78d2,EAGLEFORD,9860,12361,11920.1669921875,0,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,10/4/2016 12:00:00 AM,500,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9860,31,1/1/2018 12:00:00 AM,1,12361,31,1/1/2018 12:00:00 AM,1,11920.1669921875,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2017 8:39:11 AM,10/20/2017 8:39:11 AM,31,1,9860,12361,0,11920.1669921875,9860,12361,0,11920.1669921875,,,,,,,,,,,,,,,,,
