WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
49808ffc-e96b-4634-bcce-269fea72bf17,4238339914,2/1/2018 12:00:00 AM,13226,14936,0,Texas,REAGAN,,"PIONEER NATURAL RES. USA, INC.",28,472,533,0
cfccf29f-1289-4efb-a8a3-959330e0f5f9,4200530414,11/1/2017 12:00:00 AM,0,13124,0,Texas,ANGELINA,,BP AMERICA PRODUCTION COMPANY,30,0,437,0
cfccf29f-1289-4efb-a8a3-959330e0f5f9,4200530414,2/1/2018 12:00:00 AM,0,421783,0,Texas,ANGELINA,,BP AMERICA PRODUCTION COMPANY,28,0,15064,0
cfccf29f-1289-4efb-a8a3-959330e0f5f9,4200530414,12/1/2017 12:00:00 AM,0,435133,0,Texas,ANGELINA,,BP AMERICA PRODUCTION COMPANY,0,0,0,0
d8bcff70-1e62-420f-9c88-2aa4632d2cc3,4238935712,1/1/2018 12:00:00 AM,58603,136191,2196850,Texas,REEVES,PHANTOM (WOLFCAMP),COG OPERATING LLC,28,2092,4863,78459
af60860f-ea5d-49a2-8851-f486fd820082,4238935713,1/1/2018 12:00:00 AM,58603,136191,174376,Texas,REEVES,PHANTOM (WOLFCAMP),COG OPERATING LLC,28,2092,4863,6227
6c0f8abe-d691-462b-b5a3-7658a6c028e6,4238935714,1/1/2018 12:00:00 AM,58603,136191,208315,Texas,REEVES,PHANTOM (WOLFCAMP),COG OPERATING LLC,28,2092,4863,7439
758298ba-8d10-4a52-b0e3-9d51cf184a38,4210336567,2/1/2018 12:00:00 AM,626,0,0,Texas,CRANE,,"BLACKBEARD OPERATING, LLC",28,22,0,0
57b23b35-fe9d-47fa-beab-587ef39b3f97,4238936120,3/1/2018 12:00:00 AM,42401,183897,0,Texas,REEVES,PHANTOM (WOLFCAMP),"WPX ENERGY PERMIAN, LLC",31,1367,5932,0
4d387527-c541-4286-ad53-dbfdcd7c0354,4230133237,1/1/2018 12:00:00 AM,7894,12419,0,Texas,LOVING,PHANTOM (WOLFCAMP),ANADARKO E&P ONSHORE LLC,31,254,400,0
e4017341-b325-43fd-9b1f-d63d0102f883,4230133494,12/1/2017 12:00:00 AM,18732,43652,0,Texas,LOVING,,Apache Corporation,0,0,0,0
e4017341-b325-43fd-9b1f-d63d0102f883,4230133494,1/1/2018 12:00:00 AM,13122,43755,0,Texas,LOVING,,Apache Corporation,31,423,1411,0
a0ddcf9b-f351-420c-bf5a-374902ba4745,4217337595,2/1/2018 12:00:00 AM,41966,64838,0,Texas,GLASSCOCK,,"RSP PERMIAN, LLC",28,1499,2316,0
a0ddcf9b-f351-420c-bf5a-374902ba4745,4217337595,12/1/2017 12:00:00 AM,28940,26854,0,Texas,GLASSCOCK,,"RSP PERMIAN, LLC",0,0,0,0
1e246ad2-c9d8-49c2-9431-6ad784fcaf88,4238935980,2/1/2018 12:00:00 AM,3350,11598,0,Texas,REEVES,,BHP BILLITON PET(TXLA OP) CO,28,120,414,0
1e246ad2-c9d8-49c2-9431-6ad784fcaf88,4238935980,12/1/2017 12:00:00 AM,13504,48714,0,Texas,REEVES,,BHP BILLITON PET(TXLA OP) CO,0,0,0,0
1e246ad2-c9d8-49c2-9431-6ad784fcaf88,4238935980,11/1/2017 12:00:00 AM,5313,15220,0,Texas,REEVES,,BHP BILLITON PET(TXLA OP) CO,0,0,0,0
5ff6be84-a3f6-44a1-908e-84b10e67d274,4229132920,12/1/2017 12:00:00 AM,134,616,0,Texas,LIBERTY,,QUAIL CREEK OIL CORPORATION,0,0,0,0
5ff6be84-a3f6-44a1-908e-84b10e67d274,4229132920,11/1/2017 12:00:00 AM,425,676,0,Texas,LIBERTY,,QUAIL CREEK OIL CORPORATION,30,14,23,0
5ff6be84-a3f6-44a1-908e-84b10e67d274,4229132920,2/1/2018 12:00:00 AM,3,782,0,Texas,LIBERTY,,QUAIL CREEK OIL CORPORATION,28,0,28,0
04d94310-f2e6-438f-b5c7-52d3d59d3d36,4236130983,1/1/2018 12:00:00 AM,6,14719,0,Texas,ORANGE,,"CHOICE EXPLORATION, INC.",31,0,475,0
04d94310-f2e6-438f-b5c7-52d3d59d3d36,4236130983,2/1/2018 12:00:00 AM,4,14521,0,Texas,ORANGE,,"CHOICE EXPLORATION, INC.",28,0,519,0
f44fe6c4-44a4-4203-bf2a-98d14653f91b,4204132469,12/1/2017 12:00:00 AM,5818,2747,0,Texas,BRAZOS,,"HAWKWOOD ENERGY OPERATING, LLC",0,0,0,0
b57d44c6-0c26-47e4-b7fa-a67d07c16a4c,4238935961,12/1/2017 12:00:00 AM,34380,53811,0,Texas,REEVES,,"CENTENNIAL RESOURCE PROD, LLC",0,0,0,0
