WellId,API,FracStart,FracEnd,OperatorName,ServiceCompany,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,TotalFracMass,TotalBaseWaterVolumeMass,TotalProppantMass,FluidSystem,ProppantMaterial,CrosslinkFluid,SurfactantPresent,ScaleInhibitorPresent,ClayControlPresent,ClayControlAgent,AcidTreatmentPresent
647bccf6-5e51-4843-bd75-07f762e502c1,4232938509,5/13/2013 6:42:00 AM,5/14/2013 3:10:00 AM,COG Operating LLC,ASK,,1361838,64188,1.236534E+07,1.134411E+07,743580,Crosslink,Natural Sand,,True,False,False,,True
c83fbc9e-f43b-48ff-aa0d-28381cb4790f,4232939334,1/4/2015 9:44:53 PM,1/5/2015 12:42:29 AM,Diamondback E&P LLC,Halliburton,,1.310719E+07,0,1.192038E+08,1.091825E+08,9065600,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
56dcca50-530f-495b-be10-1048d7737f3c,4232938309,1/29/2014 12:00:00 AM,2/1/2014 12:00:00 AM,Endeavor Energy Resources,Advanced Stimulation Technologies,,274466,0,979905.4,2286302,979905.4,Crosslink,Ceramic,,True,False,False,,True
3b9733d9-e508-4859-a7b6-7aecf14db624,4232937860,8/23/2013 8:01:00 AM,8/24/2013 6:45:00 PM,Resolute Natural Resources,ASK,,1339819,87047,1.267397E+07,1.116069E+07,1176876,Crosslink,Natural Sand,,True,False,False,,True
f16c23bd-9734-4931-b01f-da6c7e470d65,4232938310,5/23/2014 12:00:00 AM,5/25/2014 12:00:00 AM,Endeavor Energy Resources,Impact Chemical,,1109934,0,9555881,9262399,0,Crosslink,Natural Sand,,True,False,True,Mixture,True
dac871f0-5f08-4233-9796-ef424d12dd97,4232941408,,,,,,,,,,0,,Natural Sand,,False,False,False,,False
2a79655b-9f9c-48da-b705-f41c19e949f8,4232937962,1/7/2013 12:00:00 AM,1/7/2013 12:00:00 AM,"E.G.L. Resources, Inc.",FTSI,,1482670,,1.37438E+07,1.235064E+07,1219655,Crosslink,Natural Sand,Borate Based,True,False,True,Quaternary Ammonium Chloride,True
6c9698a0-fab3-4a02-978f-5fb61589932e,4232939875,8/3/2015 12:00:00 AM,8/4/2015 12:00:00 AM,"CrownQuest Operating, LLC",Economy Polymers,,2668974,0,2.410931E+07,2.227259E+07,1592640,Crosslink,Natural Sand,,True,False,False,,True
a8d81797-f3b5-4ff3-8ec0-2a330708f896,4232936889,3/25/2011 12:00:00 AM,3/25/2011 12:00:00 AM,Chevron USA Inc.,Halliburton,,,,,,0,Crosslink,Natural Sand,,True,False,True,"Polyepichlorohydrin, trimethyl amine quaternized",True
d98fcc11-ab75-40ac-89ff-200e0de5dadf,4232938212,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,COG Operating LLC,"Chemplex, L.C.",,1441852,,1.319266E+07,1.201063E+07,938499.8,Crosslink,Natural Sand,,True,False,False,,True
