API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4237103581,Producing operator changed.,12/1/2008 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),NORTHAMERICAN SERVICE GROUP,,,,33095dd0-016e-4e37-94bd-6d3f0373c8ba
4237103581,Producing operator changed.,10/1/2005 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),KING RESOURCES P,,,,33095dd0-016e-4e37-94bd-6d3f0373c8ba
4237135345,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,43c06deb-3c8e-4e29-be02-47dbbb107c21
4237135345,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,43c06deb-3c8e-4e29-be02-47dbbb107c21
4237135345,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,43c06deb-3c8e-4e29-be02-47dbbb107c21
4237135244,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,04af0f34-e22a-49a3-822a-6560ef4ca333
4237135244,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,04af0f34-e22a-49a3-822a-6560ef4ca333
4237135244,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,04af0f34-e22a-49a3-822a-6560ef4ca333
4237102713,Producing operator changed.,6/1/2007 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),"SUNRISE ENERGY, INC.",,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237132935,Producing operator changed.,6/1/2007 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),"SUNRISE ENERGY, INC.",,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,10/1/2005 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),KING RESOURCES P,,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,12/1/2008 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),NORTHAMERICAN SERVICE GROUP,,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,9/1/2003 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),ENERGICO PRODUCTION INC.,,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,3/1/2004 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),KING OIL &amp; RESOURCES CO,,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,4/1/2011 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),"P.O.&amp;G. OPERATING, LLC",,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237132935,Producing operator changed.,8/1/2003 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),LONESOME LAND COMPANY,,,,5adfe94f-e385-4a47-89fe-cb2cf3142e9a
4237102713,Producing operator changed.,10/1/2005 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),KING RESOURCES P,,,,d3e18d22-6e1b-419a-a2de-07e922700fec
